From,To
"Bogota, Colombia","Cucuta, Colombia"
"Bogota, Colombia","Medellin, Colombia"
"Bogota, Colombia","Quito, Ecuador"
"Bogota, Colombia","Caracas, Venezuela"
"Bogota, Colombia","Buenos Aires, Argentina"
"Bogota, Colombia","Cali, Colombia"
"Bogota, Colombia","Sao Paulo, Brazil"
"Bogota, Colombia","Los Angeles, United States of America"
"Bogota, Colombia","New York, United States of America"
"Bogota, Colombia","Miami, United States of America"
