From,To
"Madrid, Spain","Budapest, Hungary"
"Madrid, Spain","Rome, Italy"
"Madrid, Spain","Lisbon, Portugal"
"Madrid, Spain","Paris, France"
"Madrid, Spain","London, United Kingdom"
"Madrid, Spain","Berlin, Germany"
"Madrid, Spain","Amsterdam, Netherlands"
"Madrid, Spain","Copenhagen, Denmark"
"Madrid, Spain","Prague, Czech Republic"
"Madrid, Spain","Los Angeles, United States of America"
"Madrid, Spain","New York John F Kennedy, United States of America"
